"Answer Reply","Customer Question","Product","Version"
"These are SMTP ports. You can replace the port number with any port you want to block.

To BLOCK outgoing ports → use this

iptables -I OUTPUT -p tcp --dport 25 -j REJECT
iptables -I OUTPUT -p tcp --dport 465 -j REJECT
iptables -I OUTPUT -p tcp --dport 587 -j REJECT
"," Backend Port Blocking Commands","Firewall","11"
"These are SMTP ports. You can replace the port number with any port you want to block.

To UNBLOCK outgoing ports, use this:

iptables -D OUTPUT -p tcp --dport 25 -j REJECT
iptables -D OUTPUT -p tcp --dport 465 -j REJECT
iptables -D OUTPUT -p tcp --dport 587 -j REJECT


"," Backend Port Unblocking Commands","Firewall","11"
"Creating a customized Role:
1. Login as admin.
2. Navigate to Advanced ---> Roles and Permission Section.
3. Create a New Role and Save.
4. Now open the newly created role and enable the permissions or menu access you want to assign by checking the appropriate boxes.
5. Click on Update Button.

Assigning this role to A particular User:
1. After creating a Role, go to Accounts → Users.
2. Click Create New User, fill in all required details, and select Add User.
3. Open the newly created user and click on Manage Role.
4. Choose the previously created Customized Role and click Update Role.
5. The user will now have only the assigned menus and permissions defined in that role.
","How can I assign customized permissions to a specific user in Nexbro IP-PBX.","IPBX / VoIP","1.1.7"
"1. Go to the admin panel of mail server.
2.  Then go to the mail users section. There you will see all the users
3. Click on the edit option of the user for whom you want to change policy.
4.Then save the changes you made.","How to change the policy of mail user","Mail Server","3.9.0"
"1. Open the Nebero Admin Panel.

2. Scroll down and click on UTM Config.

3. Under UTM Config, you will see the Policies option. Click on it.

4. On the right side corner, you will find Add Policy. Click on it.

5. A new interface will open where you will get four options:

Policy Name
Select Web Filter Rule Set
Select Firewall Rule Set
Remarks (you can fill this as per your requirement)

6. After filling all the details, click Save.

7. Your policy will be added successfully.","How to Add a New Policy","Firewall","11"
"Step 1: SSH into the Firewall
1. ssh root@firewall-ip -p650

Step 2: Run the Boot Command
This command reloads all firewall rules and fixes the issue.
1. php /nebero/boot/bootup.php

Step 3: Wait for Completion
Let the command finish. It will reapply all IP rules.

Step 4: Test Internet
Ask the affected users to check their internet.
It should start working normally now.
","Internet Not Working After Restart Due to Power Issue","Firewall",""
"The user is unable to send emails because it may have likely exceeded mail sending limit for the hour, minute, or day. When a mailbox crosses its allowed sending threshold, the server triggers a rate-limit error:
To resolve this:
1.Log in to the mail admin panel.

2.Search for the affected user account.

3.Check the user’s outgoing mail rate-limit settings.

4.If required, increase the allowed sending limit and save the changes.

Once the limit is adjusted, sending should work normally again.","I’m unable to send emails and it says rate limit reached","Mail Server","3.9.0"
"1. Open the Nebero Admin Panel.

2. Scroll down and click on UTM Config.

3. Under UTM Config, click on Web Filter Rule Sets.

4. On the right-side corner, click on Add Web Filter Rule Set.

5. A new window will open with two fields:

Filter Name
Remarks (optional)

6. Below that, you will see a list of Web Filter Categories.
You can click on any category and block the websites included in that category according to your requirements.

7. After selecting the categories/sites to block, click Save.

8. Your new Web Filter rule set will be created successfully.","How to Add a New Web Filter","Firewall","11"
"1. Login as Admin.
2. Go to Advanced → Inbound → Inbound Routes.
3. Click Add New Route or edit an existing one.
4. Select the destination number for which the incoming calls are received.
5. Select the Application Type as Extensions, then choose the desired user’s extension number under the Application Data field.
6. Click on Add. 
The incoming calls will now be routed directly to the selected person.","How can I route a specific incoming number call to a desired person.","IPBX / VoIP","1.1.7"
"1. Log in to the mail server’s admin panel.

2. Navigate to the Mail Users section.

3. Click Edit for the user whose quota you want to modify.

4. Open the Mail Add-on options and select the new additional quota value(the policy add-on created earlier) you want to assign. 

5. Save the changes to apply the updated quota.","How to add quota in mail-id","Mail Server","3.9.0"
"Allow ping between two networks.

iptables -I FORWARD -s 192.9.200.0/24 -d 192.168.6.0/24 -p icmp -j ACCEPT
iptables -I FORWARD -s 192.168.6.0/24 -d 192.9.200.0/24 -p icmp -j ACCEPT

","Enable Ping Between Two Networks ","Firewall","11"
" To remove the rules (block ping again)

iptables -D FORWARD -s 192.9.200.0/24 -d 192.168.6.0/24 -p icmp -j ACCEPT
iptables -D FORWARD -s 192.168.6.0/24 -d 192.9.200.0/24 -p icmp -j ACCEPT
","To remove ping between two networks","Firewall","11"
"1. Login as Admin.
2. Navigate to Accounts ---> Agents.
3. Click Create Agent or Edit an existing agent.
4. Choose the Agent type to Standby.
5. Update the changes.
6. Now the incoming calls are getting auto-picked by the agent.
","How to make the agents so that calls are auto-received in Nebero IP-PBX.","IPBX / VoIP","1.1.7"
"A. Check Name Server IP

1.Open terminal.
2.Run ping ns1.nebero.com
3.You will get an IP like:- 148.113.8.51
This is the Name Server IP, used as the failover IP in the firewall.

B. Login to Firewall Backend
ssh root@<firewall_ip> -p650

C. Check Current Failover IP

1.less /nebero/config/failoverip.inc
2.You will see something like:
<?php
-->define('FAILOVER_IP','104.243.40.198');
define('FAILOVER_IP','148.113.8.51');

The line without # is the active failover IP.
If it matches the ping result, it’s correct.

D Change Failover IP (If Not Matching)
1.Open file for editing:
nano /nebero/config/failoverip.inc
2.Change the IP to:
define('FAILOVER_IP','148.113.8.51');
3.Save and exit (in nano: Ctrl + O, Enter, then Ctrl + X).

E. Wait for Update
1.Wait 1 minute after saving.
2.Your ISP status should now show correctly on the front panel.


","When ISP is working but status is not showing on Front Panel — Follow These Steps","Firewall","11"
"1. Log in to the Nebero IP-PBX Admin Panel.
2. Navigate to Accounts ---> Agents.
3. Click Create Agent or Edit an existing agent.
4. Choose the Agent type to Callback.
5. Update the Changes.
6. After this, every incoming call will show the agent an option to pick or not pick the call.","How to make the agents so that incoming calls provide an option (Accept/Reject) in Nebero IP-PBX.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts → Extensions.
3. Click on Extensions.
Extensions details will be shown.","Where can I find all extensions in Nexbro IP-PBX.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts → Extensions.
3. Click the Add New button on the top-right of the Extensions page.
4. Fill out the extension details.
5. Save the details.","How do I create a new extension.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts ---> Extensions.
3. Open the edit (pencil) icon in the Actions column.","How can I check extension settings quickly.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts ---> Extensions.
3. Open the edit (pencil) icon in the Actions column.
4. Choose False from the Enabled option.
","How do I disable an extension.","IPBX / VoIP","1.1.7"
"It activates or deactivates an extension.","What does the Enabled field do","IPBX / VoIP","1.1.7"
"The ringing duration before the system considers the call unanswered.","What does Call Timeout mean","IPBX / VoIP","1.1.7"
"Use the DND filter dropdown at the top of the Extensions page.","How can I filter extensions by DND (Do Not Disturb)","IPBX / VoIP","1.1.7"
"A: Verify the following:

The extension is 
The password is 
The correct SIP profile is 
The Max Registrations limit is not exceeded.","Why is my extension not registering","IPBX / VoIP","1.1.7"
"a. Use the Call Forwarding filter at the top of the Extensions page.
b. The system will display all extensions that have call forwarding settings applied.","How do I check which extensions have call forwarding enabled","IPBX / VoIP","1.1.7"
"a. While creating or editing an extension, find the Maximum Limit field.
b. Enter the maximum number of concurrent calls allowed for that extension.
c. Save the configuration.","How do I limit calls for an extension","IPBX / VoIP","1.1.7"
"a. Indicates the number of devices that can register simultaneously using the same extension.
b. For example, if Max Registrations = 2, two devices can log in using the same extension.
c. Set appropriately to allow or restrict multiple devices.","What is Max Registrations","IPBX / VoIP","1.1.7"
"a. Use the Search bar above the extension list.
b. Enter the extension number, name, or other identifier.
c. The list will update to display matching results.","How do I search for a specific extension","IPBX / VoIP","1.1.7"
"a. Click the refresh icon next to the “Updated at…” timestamp.
b. The list will reload with the most recent data.","How do I refresh the extension list","IPBX / VoIP","1.1.7"
"a. Use the CSV or Excel export buttons on the Extensions page.
b. Save the exported file for backup or reporting purposes.","How can I export all extensions","IPBX / VoIP","1.1.7"
"a. Edit the extension.
b. Update the Password field.
c. Save the changes.
d. Note: the password field is hidden for security.","How do I change the password of an extension","IPBX / VoIP","1.1.7"
"a. For security reasons, the system masks passwords.
b. This prevents unauthorized users from viewing sensitive credentials.","Why is the password hidden","IPBX / VoIP","1.1.7"
"a. Enable DND for the extension.
b. Or temporarily disable the extension by setting Enabled = False.","How do I stop an extension from receiving calls","IPBX / VoIP","1.1.7"
"a. Ensure the SIP profile is correctly assigned.
b. Verify the extension password is correct.
c. Confirm Max Registrations is not exceeded.
d. Check network connectivity.","What should I check if an IP phone is not registering","IPBX / VoIP","1.1.7"
"a. Navigate to Accounts → Users.
b. Select the user you want to assign the extension to.
c. Map the extension to the user’s profile and save.","How do I assign an extension to a user","IPBX / VoIP","1.1.7"
"a. Navigate to Reports → Call Reports.
b. Select the desired extension from the list.
c. View incoming, outgoing, and missed call logs.","How do I check extension call activity","IPBX / VoIP","1.1.7"
"a. Calls may be considered unanswered too quickly.
b. Incoming calls could go to voicemail before being answered.
c. Adjust Call Timeout to a reasonable duration.","What happens if I set Call Timeout too low","IPBX / VoIP","1.1.7"
"a. Defines how calls are recorded for the extension.
b. Options include: All, Inbound, Outbound, None.
c. Select the option based on your recording requirements.","What does User Record mean","IPBX / VoIP","1.1.7"
"a. Edit the extension.
b. Go to Call Forwarding settings.
c. Enter the desired number or select a forwarding option.
d. Save the changes.","How do I configure call forwarding for an extension","IPBX / VoIP","1.1.7"
"a. 0 means no devices can register using the extension.
b. Increase the Max Registrations value to allow devices to register.
c. Save the changes.","Why does an extension show “0” in Max Registrations","IPBX / VoIP","1.1.7"
"a. Set Toll Allow = empty.
b. Modify outbound dial rules as needed.
c. Save the configuration.","How do I restrict outgoing calls for an extension","IPBX / VoIP","1.1.7"
"a. Allows filtering extensions by status, call behavior, or DND.
b. Helps locate specific extensions based on multiple criteria.
c. Use it to monitor extensions quickly.","What is the purpose of the Extension Filter section","IPBX / VoIP","1.1.7"
"a. All incoming and outgoing calls are recorded.
b. Use this option if complete call logging is required.","What does “all” mean in the User Record column","IPBX / VoIP","1.1.7"
"a. Go to Concurrent Stats or Call Reports.
b. Observe which extensions are currently active.
c. Use the data to monitor call handling by agents.","How can I monitor active extensions in real time","IPBX / VoIP","1.1.7"
"a. Yes, if Max Registrations > 1.
b. Ensure registration limits are set appropriately.
c. Devices can register simultaneously.","Can two devices use the same extension","IPBX / VoIP","1.1.7"
"a. Edit the extension.
b. Navigate to Call Forwarding settings.
c. Enter the external number.
d. Save changes.","How can I forward calls to an external number","IPBX / VoIP","1.1.7"
"a. Export the extensions to a CSV file.
b. Edit the CSV with updated information.
c. Re-import the CSV using bulk update (if supported).
d. Confirm changes applied successfully.","How do I update many extensions quickly","IPBX / VoIP","1.1.7"
"a. “True” means the extension is active.
b. It can register and make/receive calls.
c. Verify if it matches the intended operational status.","Why does an extension show “true” under Enabled","IPBX / VoIP","1.1.7"
